id;label
865341938697940992;2
874976674412154880;2
874964217547427840;2
874976652111097857;0
874652440620040192;2
874976590173806593;2
870538331653685249;2
874733013657112576;2
874976699070513153;0
874976634721320960;2
874976527149957120;2
874649102331465728;0
874976635186855937;0
874975273091039234;0
874976534552956929;2
874797311070806017;2
874976633953730560;2
874976559819403264;2
874962636659499008;2
874976675775348737;2
874957137688002560;0
874958918161772545;2
874976495982305285;2
874962889764999168;2
874976481876877312;2
874634791110537216;2
874572652718968836;2
671139232841392128;2
874976615075328002;2
874081856832102401;2
874882350659899392;2
873951303294230529;0
873870847244726272;2
874730273602023424;2
874974861583466496;2
874976538826915840;2
874956234612506625;2
874976593143250945;2
874976623493349376;2
874948987802927104;0
874974708529156096;2
874976735598710785;0
874705883963502594;0
874976323063689216;2
874976608871866368;2
874976613862998018;1
874976737238683649;2
874976512146984960;1
874939727618748418;2
874293367722651649;2
874976606355378176;2
874976506140917765;2
871502222668038144;0
874962871289094144;3
874976611166191616;2
858871981021831168;2
874976742779367426;2
874976505704488962;1
874976562814230529;2
874976609484328962;2
872771444903739392;2
874976570267631619;2
874976690153426945;2
874976499430043649;2
874976711661715456;0
874976590274473985;2
874976542207737857;2
874976644943020033;0
874976521668018177;2
874975063396798466;2
874976483818819586;2
874976600336592896;0
874976721690394624;2
874976541381451777;2
874914745698091010;2
874976625007439872;2
874976475186950145;2
874963968279715843;0
874976638932369409;2
874976570976456705;1
874976726794817540;2
874976533462626305;2
874976515598974977;2
874976240758927360;2
874976505625018370;0
874976485764767745;2
874975307689857025;2
874203554600431618;2
874976469126184963;2
874967436692303872;2
874823276916346880;0
873933418643558400;0
874976795539460096;1
874340617756835840;2
874975741582032896;3
874976763188662272;2
868140706161983488;2
874690352090927107;2
874799799802789888;2
874976749410451456;2
874957017009364992;2
874976906831159296;2
874976846122688512;2
874976939987132416;2
874976813835051011;2
874977001052016640;0
874976806985707520;0
874974586760298496;2
651809264483336192;1
874976785561255939;2
874976868226613250;2
874944837350416385;2
874976849700507648;1
874921914288021505;2
844974826011942912;2
874665705655771136;0
874976847213330432;2
874886208148656132;0
874976753080573952;2
874973679829958657;2
874967174254911489;2
874976872546922497;1
873985834650927104;2
874976227886583809;2
874976979216478208;2
874907367951015937;2
874869132608536576;0
873923027435737089;3
874641461786140673;1
874976337429221376;2
874976836660469761;2
872112702164021248;2
874679141584580608;2
862991122725031938;2
874947430487379968;2
874975995606052864;2
874484484548292608;2
874778579023822848;2
874976849172078592;0
874976777717784576;2
874976931665649664;0
874953354568400896;2
860199050708000768;1
871721281082839040;2
874976936124186624;2
874976782360780800;2
874977002876530688;2
874709048603451392;1
874976882449625088;1
874976994999619585;2
874976854926651392;2
874977000137654273;2
874976973436727297;2
874977010811944962;0
874976763952062464;2
874976815818960897;1
874975280087138304;1
874896980392259585;2
872845738899898373;2
874975478389645313;2
874973918649622528;1
874976751012728832;2
874833669223051266;0
873566301792456705;2
824343715166646272;2
874976876636196865;2
874974820223639552;2
874976980080484354;2
793403392869752838;1
874977015392120837;2
874976986183200768;0
873110715095056386;2
874976933045346304;2
874947882356441088;1
872787004215488512;0
874977083570696192;2
874690343387746305;2
874977046799273984;2
874977077744865282;0
874977246712299520;2
874690977948065792;2
874790249695727617;2
874977225568866305;2
874976726559928324;2
874977159219224577;2
874977203754332160;2
874977244317458436;0
874964214527471616;1
874977176914886656;0
874691036240519168;2
874977233181585408;0
872529330672353280;2
873100334687600640;0
874977257697271810;2
874975907282276352;2
874858008966291456;0
874150791778402304;0
874977147068272640;2
874977019603365888;2
874971781609738241;2
874977071163998209;2
874977045977149442;0
874977224902029314;0
874977097290309633;2
874977105469198337;0
874977219814273024;2
874977080613752833;2
874975204195393536;0
874977260054425601;2
874961367798820866;0
874977139229171712;2
874977249916841984;2
874976422594580481;2
874286282813448192;2
874974259474567168;1
874977256543858689;2
874977064071442433;0
874977024368033792;2
874974714757881856;2
874539606104002560;2
874977165380468736;2
874862903740035073;2
874977254442446848;2
874977192530325505;1
874977068869713920;2
874977247341543424;2
874977157516230656;0
874977151296077824;2
874855040175017985;0
874727167199813632;0
874734750497374208;0
874977214747607043;2
874977224780161024;2
874637366098616320;2
874976716703363072;2
874964471873060864;2
874977108715614214;1
874974736329170944;2
874941250356613120;2
874977224796942337;1
874863238986555397;2
874977511813267456;2
874972245701120000;2
874977354321473536;2
874977408591380480;2
874977481425551360;0
845686944193560576;0
874977307688972288;2
874865200041779200;1
874977273409097728;2
874766233530286083;2
874682061805805568;2
873681108759703554;2
874793757861965825;2
874977440225001472;1
874977438626983936;2
871472686475739136;2
874910566351077376;2
874951441550639104;2
870944406085525504;2
874977279931232256;2
874966431909109760;2
874977480951701504;2
874977344536010752;0
874977277901238272;0
874815673209200640;2
874928423931695104;2
874891686299807745;2
874702311259594756;2
871030526940938241;0
874977318569205760;2
874976036299079682;2
874977450731720704;2
874625481798299648;0
861501096841314304;2
874977324348964865;2
869592304117571584;2
871767322482155520;2
874959858734436353;2
874977296880476160;2
857970124334268417;2
874977309228507136;2
874977294984654848;2
874962356111015937;2
874288151036141568;2
874689840452956162;2
872109640707977217;2
874977334616608768;2
874977292556132352;1
874593953529593856;2
874977327016538112;1
874975746007023616;2
854420560960475137;2
874977362903003136;2
874977494843219969;2
874977288995188736;0
874653314000056320;2
874930418960805889;1
874977502493593604;2
874977411892486145;2
874977314496536576;0
874977300227522561;2
874915785399033857;2
873392222741315584;0
874953462177562624;2
874977459602640896;0
874977331286343680;2
874977286315016192;2
874977452916920321;2
874975283186720768;2
874977403642228736;0
874977508361293825;2
874977495539470336;2
874977326001512449;2
874966936106541056;2
874977499393908736;2
874977484881539076;2
874977326710370305;2
801274285268475905;2
874977462446428160;2
874963504477982720;2
874977760434941952;2
874977757314170884;2
874827657355161600;2
874683282142748672;2
874977545061642242;2
874966465354633216;2
874977609515286537;2
874977671389642753;2
874977755015675908;0
874928853214429185;2
874977528158576640;2
874977645271941120;2
874977522408189953;2
874977577634586624;2
874828764362014721;2
874977558550466560;2
874612603389136898;2
874718858715832320;2
874977626594693121;2
874977725085339648;2
874660206734475264;2
874967162674454529;1
784274142304493568;1
874659538942676992;2
874597077053050881;1
874977556285472768;2
874977580016914433;0
874977727002140672;0
873800735405768704;2
874971800408473600;2
874977813165731846;2
874965212377559040;2
874977577273839617;1
872251847347769344;2
874969984920956928;0
874977518914326528;2
874977550711361537;0
874977789266468869;2
874798625490128896;2
874977750049710081;2
874976322455560192;0
874977750377017344;2
874977679392608257;2
874977617518055424;2
842421040450007041;2
874977767594569728;2
874882666264489986;2
874973596711518210;2
874977704319361024;0
874977582432755712;2
874977513499439104;2
874977537998323714;0
874977648253874176;2
874977781934952448;0
874884109432217602;2
874977528166977536;0
874287669525794817;2
874688103491022850;2
874977759205969920;2
874977687248543744;2
874977772052955136;2
846112619505209345;2
874975292258791426;0
874977622358462464;2
874977809243963392;2
874977575591968768;2
874977712380588033;0
874977749517164546;2
874691145162309632;2
874977521040850944;2
737775243100577792;0
874977763811360768;2
874977793351790592;2
874977553676742656;2
874977520902426627;2
874977759138684928;1
874978064148578304;2
874977920720281600;2
874650290326253568;2
874978118733369344;0
874978050445910016;0
874974742826168321;1
874325811108630528;0
874978104191700994;2
874978045895081984;2
874978030933819392;2
874698250409914368;2
874977974617071616;2
874738434681823232;2
874977843373125632;2
874977877707673600;2
874977909827670017;0
874965929666506753;2
874965379721945089;0
874978022226571264;2
874961119294697472;2
874875305504256000;2
874978036801826817;2
874978022394298369;0
874977980933603328;2
874977997219962882;2
874797288031481856;2
874978057689473024;2
874628739400859648;2
872864947067248641;2
874977996020391940;2
874978051540570113;2
874978015196753925;0
874277505565208576;2
874978068326174721;2
874978149636882432;2
594209492830527488;2
874977858686377985;2
874978060830945282;2
874977856287383556;2
874952855614103554;0
874978114060914689;3
874977857868623876;2
874977900717633538;2
874978034113167361;2
874978064761061376;0
874977917499056129;0
874977937568804864;2
824989031754776576;2
821466695436877824;2
874978110680203264;2
874978051112742912;2
874776793529688065;2
874459299531038720;2
874978091373928448;2
874801715861737474;2
874903283789377536;0
874978140220731392;2
874978038227898368;2
874977946070470658;2
874918711681011712;1
874958024724680706;2
874977977116872705;2
874846377381171203;2
874793114744926208;3
874978003251605505;2
874977998906290179;2
874325449244950529;2
874978041868505088;2
874977854739689472;2
874977925346467841;2
874977853598597120;2
874978083438288896;2
874718650921517056;2
874972241406177280;2
874977863417683968;2
874679714014801920;2
874694141791404032;2
874835297741135872;2
874975927092097024;2
874978015868055552;2
874841717693874176;2
874977988474961921;2
874655881258037251;2
874977822137339904;2
874978230205386752;0
874771481418510336;2
874978282906759173;2
874881873939488768;2
874978359624835072;2
874978273217978368;0
874976842859655168;2
874978358156775425;0
874978248605806592;0
874978378113138691;2
870495349026152450;2
874978278150463488;0
874978389660246017;2
874978372073410560;2
874373875307388928;2
872195579450990592;2
874978414033350656;2
874978437324296193;1
647103568621764608;2
874978283510800385;2
874978153697095681;2
874978471105228803;2
874978283317678080;1
594935694306484225;2
874978281350717440;0
874978368063627268;2
874978264237912064;2
874978435722080256;2
